message,severity,attributes,tags,timestamp
  [details] fixture=1565179 events=1 lineups=0,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:54.982093579Z
[2026-07-03T23:01:54.975Z] live=2 tracked=1 updated=0 api_calls=2 total_calls=25 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:54.982098339Z
[2026-07-03T23:02:10.102Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=26 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:02:14.978760741Z
[2026-07-03T23:02:25.206Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=27 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:02:34.937157018Z
[2026-07-03T23:02:40.312Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=28 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:02:40.313456215Z
[2026-07-03T23:02:55.427Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=29 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:03:00.338718883Z
[2026-07-03T23:03:10.547Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=30 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:03:20.289080219Z
[2026-07-03T23:03:25.653Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=31 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:03:25.771825709Z
[2026-07-03T23:03:40.782Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=32 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:03:45.743845040Z
  [details] fixture=1565179 events=1 lineups=0,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:05.757621644Z
[2026-07-03T23:03:55.949Z] live=2 tracked=1 updated=0 api_calls=2 total_calls=34 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:05.757627984Z
[2026-07-03T23:04:11.049Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=35 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:11.061363495Z
[2026-07-03T23:04:26.157Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=36 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:31.101301893Z
[2026-07-03T23:04:41.255Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=37 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:51.099806046Z
[2026-07-03T23:04:56.393Z] live=3 tracked=1 updated=0 api_calls=1 total_calls=38 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:04:56.396095430Z
